Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"TWIST2"	"4.5"	"ARCHS4 Coexpression,5;GTEx Coexpression,4"	"ZBTB47,IL1R1,CD109,LAMC1"
"gene_set_query"	"2"	"TBX3"	"36.5"	"Literature ChIP-seq,111;ARCHS4 Coexpression,15;Enrichr Queries,6;GTEx Coexpression,14"	"IL1R1,PLK2,ID2,ID1,SH3BP5,SNAI1,PHACTR2,LAMC1"
"gene_set_query"	"3"	"FOXD1"	"39.5"	"ARCHS4 Coexpression,48;GTEx Coexpression,31"	"CD109,NT5DC2,LAMC1"
"gene_set_query"	"4"	"ZNF469"	"50.0"	"ARCHS4 Coexpression,35;GTEx Coexpression,65"	"ZBTB47,CD109,LAMC1"
"gene_set_query"	"5"	"TWIST1"	"52.0"	"ARCHS4 Coexpression,10;Enrichr Queries,152;ReMap ChIP-seq,28;GTEx Coexpression,18"	"IL1R1,CD109,ID2,PLK2,ID1,SNAI1,LAMC1,CLU"
"gene_set_query"	"6"	"MEIS2"	"58.5"	"ARCHS4 Coexpression,66;Enrichr Queries,33;ReMap ChIP-seq,23;GTEx Coexpression,112"	"IL1R1,ID2,PLK2,ID1,STON1,SH3BP5,LAMC1,CLU,RTL5,ADGRL3"
"gene_set_query"	"7"	"SNAI2"	"62.25"	"ARCHS4 Coexpression,4;Enrichr Queries,8;ReMap ChIP-seq,211;GTEx Coexpression,26"	"IL1R1,CD109,PLK2,ID2,ID1,LAMC1,CLU"
"gene_set_query"	"8"	"PPARG"	"78.2"	"Literature ChIP-seq,97;ARCHS4 Coexpression,155;Enrichr Queries,47;ReMap ChIP-seq,13;GTEx Coexpression,79"	"IL1R1,PLK2,ID2,CD109,ID1,HSPA2,PTGR1,VSIG10L,CLU,RTL5,ADGRL3"
"gene_set_query"	"9"	"ELK3"	"78.25"	"Literature ChIP-seq,65;ARCHS4 Coexpression,96;Enrichr Queries,150;GTEx Coexpression,2"	"ZBTB47,IL1R1,CD109,PLK2,ID2,ID1,SNAI1,LAMC1,VSIG10L"
"gene_set_query"	"10"	"ZNF575"	"84.33"	"ARCHS4 Coexpression,148;Enrichr Queries,13;GTEx Coexpression,92"	"IL1R1,PLK2,ID2,ID1,HSPA2,RTL5,ADGRL3"
"gene_set_query"	"11"	"ZNF697"	"86.33"	"ARCHS4 Coexpression,97;Enrichr Queries,156;GTEx Coexpression,6"	"IL1R1,CD109,PLK2,ID2,NT5DC2,ID1,LAMC1,CLU"
"gene_set_query"	"12"	"ZHX3"	"93.33"	"ARCHS4 Coexpression,12;Enrichr Queries,225;GTEx Coexpression,43"	"ZBTB47,PLK2,ID2,ID1,STON1,LAMC1,CLU"
"gene_set_query"	"13"	"TEAD3"	"98.33"	"ARCHS4 Coexpression,45;Enrichr Queries,19;GTEx Coexpression,231"	"PLK2,ID2,NT5DC2,ID1,STON1,LAMC1,CLU"
"gene_set_query"	"14"	"FOXS1"	"99.33"	"ARCHS4 Coexpression,170;Enrichr Queries,66;GTEx Coexpression,62"	"IL1R1,ID2,PLK2,ID1,SNAI1,LAMC1"
