File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
e142da42-cf4a-4d31-b003-27d0371d8717	4bc2dca9-5680-4139-9a02-80fefd87e56c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2015	BA2861R	Primary Blood Derived Cancer - Bone Marrow
4fff9e23-f40d-473f-b9d9-f1b07458845b	cb42e7a1-4188-4d80-9994-56b31985de54.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2219	BA2477R	Primary Blood Derived Cancer - Bone Marrow
78d8ac17-aa34-4b15-904d-4b3d418970f8	44977951-a278-4463-a1af-2ef7f4e1aa71.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2219	BA2244R	Recurrent Blood Derived Cancer - Peripheral Blood
f5fb9900-17f3-4f09-bf9b-34bba99e30b7	280d4666-1486-4a0c-a89e-ed6bf4fb68a5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2219	BA3089R	Recurrent Blood Derived Cancer - Bone Marrow
d4d28755-3ce0-43fb-9d7e-fbc3e6c5595b	daebc966-3d20-4524-9587-d9840c966451.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2184	BA2619R	Primary Blood Derived Cancer - Peripheral Blood
1039aa8b-3d3c-423c-9e41-a6ec31ebff09	01da5f65-e850-4cdf-8061-a5ee7bcce5ec.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2515	BA2288R	Recurrent Blood Derived Cancer - Bone Marrow
06f3aa73-b20f-4201-b045-4f9d7166bc68	245a74cf-4697-48b7-95a2-605d8ae84074.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2330	BA2375R	Recurrent Blood Derived Cancer - Peripheral Blood
0b7deec4-f4e3-46ab-83a3-931a5b8723e9	ff5bb04c-e6d8-400e-a7a2-131ef721d1ca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2270	BA2334R	Recurrent Blood Derived Cancer - Peripheral Blood
c95465e9-db5f-4c67-bfc5-f3f4704df316	a6787605-d113-4b39-b9fd-3f4cb87fda96.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2429	BA2025R	Recurrent Blood Derived Cancer - Bone Marrow
ee747787-3e6a-42ad-8cb8-0ac148090abf	db805d16-d376-4ea8-b54c-b576e983581e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2067	BA2482R	Primary Blood Derived Cancer - Bone Marrow
060bf3f4-6b0b-4070-8f30-d3764adf3be5	5bab7fe0-a8fb-4d45-9aa1-443552ff53af.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2268	BA2353R	Recurrent Blood Derived Cancer - Bone Marrow
a567a583-7969-407a-87ef-2640e91f6764	e0a425cf-fc85-415f-82b1-538dabde1368.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2309	BA3076R	Recurrent Blood Derived Cancer - Peripheral Blood
232b27ec-ba30-4d4f-8e13-dfd6a8e6de55	fbbe57ba-7835-4fb4-859c-b2556d7908dd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2664	BA3153R	Primary Blood Derived Cancer - Peripheral Blood
d555856e-9277-48f7-a898-cb4edb0f315a	851fd94e-c1da-4a8a-992c-0b22cf28fa83.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2662	BA3169R	Recurrent Blood Derived Cancer - Peripheral Blood
0f46c8b7-6a1e-4fea-9594-19b2867a237e	a7999e11-7c13-40b9-ae00-8bf6e367605e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2157	BA2452R	Recurrent Blood Derived Cancer - Bone Marrow
651d7880-62d6-496c-a3b1-8e876a138f51	216af677-4fd9-4428-80a5-69c3e93c626d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2206	BA2813R	Primary Blood Derived Cancer - Bone Marrow
1ac22d7e-a1a2-418e-9100-48291a400a35	f3fbba09-45a4-4a2e-ac0a-781eb383d313.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2655	BA3362R	Primary Blood Derived Cancer - Bone Marrow
b0580d32-3535-4aef-b60d-b9345b0ac100	c1c59aae-ae9e-4683-9027-6094b7b840d0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2715	BA3329R	Recurrent Blood Derived Cancer - Peripheral Blood
c2af9241-e939-4cf3-9916-d632c56a0a14	2dd1fa5b-e612-4003-97db-f92e70339484.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2333	BA2417R	Recurrent Blood Derived Cancer - Peripheral Blood
f3ca8da6-3394-489d-93dd-2c7e46142d89	205596bd-3193-48c7-909a-a963761870b7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2133	BA2675R	Primary Blood Derived Cancer - Peripheral Blood
faedfd09-4ac4-4cae-92de-afee11cf4c49	632135b5-0919-4062-9a18-84a47fc80efd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2426	BA2400R	Primary Blood Derived Cancer - Bone Marrow
fa9f414a-3741-46bc-b5e4-1bd328dd25a6	a09c3bd3-11ae-4e9d-8adf-441846dbb1fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2061	BA2762R	Primary Blood Derived Cancer - Peripheral Blood
f90b3fef-acc1-4696-b317-200586f4a690	2efc1fea-38be-4c16-ba36-89e1cb5668c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2294	BA2276R	Primary Blood Derived Cancer - Bone Marrow
b97989a3-f6c2-4bd0-a49d-a7511777ea52	3f1bd07d-bfa2-423b-a4b6-6b48ce2c4600.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2704	BA3167R	Primary Blood Derived Cancer - Bone Marrow
e8cd7fea-0ad1-4639-8b0b-595072e8dab6	8dde8a08-99f1-400a-b05b-0e2b06b9a490.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	BEATAML1.0-COHORT	2022	BA2032R	Recurrent Blood Derived Cancer - Peripheral Blood
