File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
9e1d56a0-0f5f-4902-b459-68d8f451c075	3a91981c-57c8-4108-823b-e3f31639b11d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2987	TCGA-AB-2987-03A	Primary Blood Derived Cancer - Peripheral Blood
6e52e950-7e51-4e12-b194-68d935cb96f0	adc73ced-098f-49a4-b86a-5715804d094f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2857	TCGA-AB-2857-03A	Primary Blood Derived Cancer - Peripheral Blood
8c66364e-5637-4d94-aff7-1d74a2c7fc40	0ca7ca0e-1237-420d-9ddf-5565656616ed.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2847	TCGA-AB-2847-03A	Primary Blood Derived Cancer - Peripheral Blood
f6529292-5452-49e5-9e69-61da6048fb7e	7f29468d-6ddc-4f8d-bf13-fe33b8dc625c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-3000	TCGA-AB-3000-03A	Primary Blood Derived Cancer - Peripheral Blood
c701ed1e-a8b8-47f9-b5ea-2c90e3172320	7deaf685-7960-49d4-a190-c6991699005f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2870	TCGA-AB-2870-03A	Primary Blood Derived Cancer - Peripheral Blood
0e7c1a03-0837-42b6-a60d-16be95603566	bba0e37e-3ec7-45ae-a384-1c02f4648183.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2826	TCGA-AB-2826-03A	Primary Blood Derived Cancer - Peripheral Blood
e8796436-0aa8-42a3-bf63-e42cafcb0e45	09eab957-cc0c-4af4-bb42-03a7826165e4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2919	TCGA-AB-2919-03A	Primary Blood Derived Cancer - Peripheral Blood
c7153357-b5f6-4c62-99fb-d81cef493ed3	24fb0f49-d3c2-4072-ac1f-8d5b4af80a54.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2940	TCGA-AB-2940-03A	Primary Blood Derived Cancer - Peripheral Blood
adccdcca-3e57-4ee8-aee4-caeb19b16cca	64bc2c14-38c4-42c3-8e31-59226e90e07d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2818	TCGA-AB-2818-03A	Primary Blood Derived Cancer - Peripheral Blood
d79969c9-7499-458d-8124-f3c2252b082f	48c81c7e-c73f-46ad-b5ef-c49017c260ca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2990	TCGA-AB-2990-03B	Primary Blood Derived Cancer - Peripheral Blood
ba5a93bb-d99f-4f31-8c59-773ee5b0d46c	4ba32010-a5fc-4c0c-b10e-264c41bfdde1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2943	TCGA-AB-2943-03A	Primary Blood Derived Cancer - Peripheral Blood
e6825b2c-cccb-435d-becb-f3e5662c4e7e	9108729b-515e-45aa-bff7-f677995a7592.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2869	TCGA-AB-2869-03A	Primary Blood Derived Cancer - Peripheral Blood
ef68dfd3-b700-41f8-b27e-ba4066b3afeb	acde9375-87ce-4bea-a25b-a7cfb41527a1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2928	TCGA-AB-2928-03A	Primary Blood Derived Cancer - Peripheral Blood
02e5b06d-a187-4248-bcc5-c7a27ba58984	6bc61c9c-083e-48b5-84de-0d984d84aab8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2939	TCGA-AB-2939-03A	Primary Blood Derived Cancer - Peripheral Blood
90505c87-0666-4484-bd02-c360f180bbb4	3c1ba7bc-b307-49aa-b079-20bf0887e31e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2884	TCGA-AB-2884-03A	Primary Blood Derived Cancer - Peripheral Blood
435e27a0-8430-4964-a953-ae4ffaf47e3f	5852bf03-0a4a-491a-ac82-e452552c526a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2959	TCGA-AB-2959-03A	Primary Blood Derived Cancer - Peripheral Blood
8d424c0b-c7c6-4140-be8d-cef16e20084c	cc3016ae-9d36-49c1-8cf5-a6a1f200f52c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2970	TCGA-AB-2970-03A	Primary Blood Derived Cancer - Peripheral Blood
628aea64-9b16-4160-a73a-1fe44482af03	e8bfda63-2489-4f9a-8edc-815c4ad111f7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2991	TCGA-AB-2991-03A	Primary Blood Derived Cancer - Peripheral Blood
5ea7031e-02c5-4295-84e8-76c99b79bdf1	8ef4bd00-bdf8-4b19-8545-53bf4c55b2f6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2935	TCGA-AB-2935-03A	Primary Blood Derived Cancer - Peripheral Blood
d7f7a1c5-f99a-47da-8ad3-887491fc810a	10da15fc-0876-45e2-8493-a45d6df69683.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2891	TCGA-AB-2891-03A	Primary Blood Derived Cancer - Peripheral Blood
9f7e1e2f-8aac-47bd-b28c-27af13724ea1	b12a36cd-2958-4312-9969-5f7ac06ee927.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2920	TCGA-AB-2920-03B	Primary Blood Derived Cancer - Peripheral Blood
caa33f9f-2f8e-467a-ba59-4fdff2c0bbe8	1f3bdcaf-faa0-4915-ae1f-1f4a101fc664.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-3007	TCGA-AB-3007-03A	Primary Blood Derived Cancer - Peripheral Blood
9d2c7b4f-afab-44dd-b7b2-6d540db5f1f3	bfd81d73-a604-499a-977d-abd0b6fb4329.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2835	TCGA-AB-2835-03A	Primary Blood Derived Cancer - Peripheral Blood
cfa3fec3-e4ca-42d1-b3ad-4957e38ef9e9	474f95bb-55a4-4738-ba90-ae40dbcac5ce.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2878	TCGA-AB-2878-03A	Primary Blood Derived Cancer - Peripheral Blood
5b032718-0f61-4a0d-a608-9bd1b4974d1f	5381aa50-dd9b-4272-9556-45b15d8a7b86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2995	TCGA-AB-2995-03A	Primary Blood Derived Cancer - Peripheral Blood
e497c46d-d947-4bd3-94ff-7fbea95aeb72	9d32d24e-720d-40e9-852d-a5d2676234a4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2834	TCGA-AB-2834-03A	Primary Blood Derived Cancer - Peripheral Blood
74e2a599-a161-49e3-95fe-62cddb805279	cdeb3182-d264-425b-9481-56618cd8b5c4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2916	TCGA-AB-2916-03A	Primary Blood Derived Cancer - Peripheral Blood
68e13706-df83-4cb1-987c-1ba839bf1a03	6756d9de-6c5c-470e-968e-a0e519161120.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2851	TCGA-AB-2851-03A	Primary Blood Derived Cancer - Peripheral Blood
105c969c-ac2d-4a89-ae5c-4bc79af47421	dbeff8bb-8f5f-48a0-81a6-b76864f502a7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2813	TCGA-AB-2813-03A	Primary Blood Derived Cancer - Peripheral Blood
5d650ac1-5544-45ec-a1b6-00f98081d2b8	24125fc9-e366-49a0-a35f-004bfabd559b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2914	TCGA-AB-2914-03A	Primary Blood Derived Cancer - Peripheral Blood
80bbd538-320f-4c72-9e13-e8d43f5cbd3f	5f4746f1-6429-4c20-a605-c53c3eb72203.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LAML	TCGA-AB-2911	TCGA-AB-2911-03A	Primary Blood Derived Cancer - Peripheral Blood
